function,args,kwargs
sklearn.compose._target.TransformedTargetRegressor,,"func=**, inverse_func=**, regressor=**"
sklearn.preprocessing.quantile_transform,**,"copy=True, n_quantiles=900, output_distribution=normal"
sklearn.linear_model._ridge.RidgeCV,,
sklearn.compose._target.TransformedTargetRegressor,,"regressor=**, transformer=**"
sklearn.metrics.r2_score,"y_true, y_pred",
sklearn.metrics.median_absolute_error,"y_true, y_pred",
sklearn.preprocessing.QuantileTransformer,,"n_quantiles=900, output_distribution=normal"
sklearn.datasets.fetch_openml,titanic,"as_frame=True, parser=pandas, return_X_y=True, version=1"
sklearn.pipeline.Pipeline,,steps=**
sklearn.pipeline.Pipeline,,steps=**
sklearn.compose.ColumnTransformer,,transformers=**
sklearn.pipeline.Pipeline,,steps=**
sklearn.model_selection.train_test_split,"X, y","random_state=0, test_size=0.2"
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.compose.ColumnTransformer,,transformers=**
sklearn.pipeline.Pipeline,,steps=**
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.model_selection.RandomizedSearchCV,"clf, param_grid","n_iter=10, random_state=0"
sklearn.model_selection._search.BaseSearchCV.fit,"X_train, y_train",
sklearn.compose.make_column_selector,,dtype_exclude=category
sklearn.compose.make_column_selector,,dtype_include=category
sklearn.model_selection._search.BaseSearchCV.score,"X_test, y_test",
sklearn.impute.SimpleImputer,,strategy=median
sklearn.preprocessing.OneHotEncoder,,handle_unknown=ignore
sklearn.feature_selection.SelectPercentile,chi2,percentile=50
sklearn.pipeline.Pipeline,,dtype_exclude=category
sklearn.pipeline.Pipeline,,dtype_include=category
sklearn.datasets.load_digits,,return_X_y=True
sklearn.pipeline.Pipeline,**,
sklearn.model_selection.GridSearchCV,pipe,"n_jobs=1, param_grid=param_grid"
sklearn.model_selection._search.BaseSearchCV.fit,"X, y",
sklearn.pipeline.Pipeline,**,memory=memory
sklearn.svm.LinearSVC,,"dual=False, max_iter=10000"
sklearn.feature_selection.SelectKBest,mutual_info_classif,
sklearn.datasets.make_classification,,"n_clusters_per_class=1, n_features=2, n_informative=1, n_redundant=0"
sklearn.datasets.make_classification,,"n_clusters_per_class=1, n_features=2, n_informative=2, n_redundant=0"
sklearn.datasets.make_classification,,"n_features=2, n_informative=2, n_redundant=0"
sklearn.datasets.make_classification,,"n_classes=3, n_clusters_per_class=1, n_features=2, n_informative=2, n_redundant=0"
sklearn.datasets.make_blobs,,"centers=3, n_features=2"
sklearn.datasets.make_gaussian_quantiles,,"n_classes=3, n_features=2"
sklearn.datasets.load_iris,,
sklearn.decomposition._pca.PCA.fit_transform,**,
sklearn.decomposition.PCA,,n_components=3
sklearn.datasets.load_digits,,
sklearn.linear_model._base.LinearRegression,,
sklearn.linear_model.QuantileRegressor,,"alpha=0, quantile=0.5, solver=solver"
sklearn.linear_model.QuantileRegressor,,"alpha=0, quantile=quantile, solver=solver"
sklearn.linear_model.QuantileRegressor,,"alpha=0, quantile=quantile, solver=solver"
sklearn.utils.fixes.sp_version,1.6.0,
sklearn.linear_model._base.LinearRegression.fit,"X, y_pareto",
sklearn.linear_model._quantile.QuantileRegressor.fit,"X, y_pareto",
sklearn.linear_model._quantile.QuantileRegressor.fit,"X, y_normal",
sklearn.linear_model._quantile.QuantileRegressor.fit,"X, y_pareto",
sklearn.metrics.mean_absolute_error,"y_pareto, y_pred_lr",
sklearn.metrics.mean_squared_error,"y_pareto, y_pred_lr",
sklearn.metrics.mean_absolute_error,"y_pareto, y_pred_qr",
sklearn.metrics.mean_squared_error,"y_pareto, y_pred_qr",
sklearn.datasets.load_diabetes,,return_X_y=True
sklearn.linear_model.LinearRegression,,
sklearn.linear_model._base.LinearRegression.fit,"diabetes_X_train, diabetes_y_train",
sklearn.linear_model._base.LinearModel.predict,diabetes_X_test,
sklearn.metrics.mean_squared_error,"diabetes_y_test, diabetes_y_pred",
sklearn.linear_model.BayesianRidge,,"compute_score=True, fit_intercept=False, tol=1e-06"
sklearn.linear_model._bayes.BayesianRidge.fit,"X_train, y_train",
sklearn.linear_model._bayes.BayesianRidge.predict,X_test,return_std=True
sklearn.base.BaseEstimator.set_params,,"alpha_init=**, lambda_init=**"
sklearn.datasets.make_regression,,"coef=True, n_features=1, n_informative=1, n_samples=n_samples, noise=10, random_state=0"
sklearn.linear_model.LinearRegression,,
sklearn.linear_model._base.LinearRegression.fit,"X, y",
sklearn.linear_model.RANSACRegressor,,
sklearn.linear_model._ransac.RANSACRegressor.fit,"X, y",
sklearn.linear_model._base.LinearModel.predict,line_X,
sklearn.linear_model._ransac.RANSACRegressor,line_X,
sklearn.datasets.load_digits,,return_X_y=True
sklearn.base.TransformerMixin.fit_transform,X,
sklearn.linear_model.LogisticRegression,,"C=C, penalty=l1, solver=saga, tol=0.01"
sklearn.linear_model.LogisticRegression,,"C=C, penalty=l2, solver=saga, tol=0.01"
sklearn.linear_model.LogisticRegression,,"C=C, l1_ratio=l1_ratio, penalty=elasticnet, solver=saga, tol=0.01"
sklearn.linear_model._logistic.LogisticRegression.fit,"X, y",
sklearn.linear_model._logistic.LogisticRegression.fit,"X, y",
sklearn.linear_model._logistic.LogisticRegression.fit,"X, y",
sklearn.linear_model._logistic.LogisticRegression,,
sklearn.linear_model._logistic.LogisticRegression,,
sklearn.linear_model._logistic.LogisticRegression,,
sklearn.preprocessing.StandardScaler,,
sklearn.linear_model.Ridge,,
sklearn.datasets.make_regression,,"bias=3.5, coef=True, n_features=10, n_samples=10, random_state=1"
sklearn.base.BaseEstimator.set_params,,alpha=a
sklearn.linear_model._ridge.Ridge.fit,"X, y",
sklearn.metrics.mean_squared_error,"**, w",
sklearn.utils._testing.ignore_warnings,,category=ConvergenceWarning
sklearn.model_selection.train_test_split,"X, y","random_state=0, test_size=0.5"
sklearn.linear_model._stochastic_gradient.SGDClassifier,,
sklearn.datasets.fetch_openml,mnist_784,"as_frame=False, parser=pandas, version=1"
sklearn.utils.shuffle,"**, **",random_state=42
sklearn.linear_model.SGDClassifier,,n_iter_no_change=3
sklearn.linear_model,,"early_stopping=False, n_iter_no_change=3, tol=0.1"
sklearn.linear_model,,"early_stopping=True, n_iter_no_change=3, tol=0.0001, validation_fraction=0.2"
sklearn.datasets.make_blobs,,"centers=2, cluster_std=0.6, n_samples=50, random_state=0"
sklearn.linear_model.SGDClassifier,,"alpha=0.01, loss=hinge, max_iter=200"
sklearn.linear_model._stochastic_gradient.BaseSGDClassifier.fit,"X, Y",
sklearn.linear_model._base.LinearClassifierMixin.decision_function,**,
sklearn.pipeline.make_pipeline,"**, **",
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.pipeline.Pipeline.predict,X_plot,
sklearn.preprocessing._polynomial.PolynomialFeatures.fit,X_train,
sklearn.preprocessing._polynomial.SplineTransformer.fit,X_train,
sklearn.pipeline.make_pipeline,"**, **",
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.pipeline.Pipeline.predict,X_plot,
sklearn.preprocessing.SplineTransformer,,"degree=3, n_knots=4"
sklearn.pipeline.make_pipeline,,alpha=0.001
sklearn.preprocessing._polynomial.SplineTransformer,X_plot,
sklearn.pipeline.make_pipeline,"transformer, **",
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.pipeline.Pipeline.predict,X_plot_ext,
sklearn.preprocessing._polynomial.SplineTransformer.transform,X_plot_ext,
sklearn.pipeline.make_pipeline,degree,
sklearn.pipeline.make_pipeline,,alpha=0.001
sklearn.preprocessing.PolynomialFeatures,,degree=3
sklearn.preprocessing.SplineTransformer,,"degree=3, n_knots=4"
sklearn.preprocessing.SplineTransformer,,"degree=3, n_knots=10"
sklearn.preprocessing.SplineTransformer,,"degree=3, extrapolation=periodic, knots=**"
sklearn.pipeline.make_pipeline,,alpha=0.001
sklearn.preprocessing.SplineTransformer,,"degree=3, extrapolation=periodic, knots=**"
sklearn.datasets.load_diabetes,,return_X_y=True
sklearn.linear_model.enet_path,"X, y","eps=eps, l1_ratio=0.8"
sklearn.datasets.make_regression,,"bias=100.0, n_features=1, n_samples=20, noise=4.0, random_state=0"
sklearn.linear_model.Ridge,,"alpha=0.0, random_state=0"
sklearn.linear_model._ridge.Ridge.fit,"X, y",
sklearn.linear_model.HuberRegressor,,"alpha=0.0, epsilon=epsilon"
sklearn.linear_model._huber.HuberRegressor.fit,"X, y",
sklearn.datasets.load_iris,,
sklearn.linear_model.LogisticRegression,,"intercept_scaling=10000.0, max_iter=**, penalty=l1, solver=liblinear, tol=1e-06, warm_start=True"
sklearn.svm.l1_min_c,"X, y",loss=log
sklearn.base.BaseEstimator.set_params,,C=c
sklearn.linear_model._logistic.LogisticRegression.fit,"X, y",
sklearn.linear_model._logistic.LogisticRegression.fit.coef_,,
sklearn.datasets.load_diabetes,,return_X_y=True
sklearn.linear_model.lars_path,"X, y","method=lasso, verbose=True"
sklearn.datasets.fetch_openml,mnist_784,"as_frame=False, parser=pandas, return_X_y=True, version=1"
sklearn.utils.check_random_state,0,
sklearn.preprocessing.StandardScaler,,
sklearn.base.TransformerMixin.fit_transform,X_train,
sklearn.preprocessing._data.StandardScaler.transform,X_test,
sklearn.linear_model.LogisticRegression,,"C=**, penalty=l1, solver=saga, tol=0.1"
sklearn.linear_model._logistic.LogisticRegression.fit,"X_train, y_train",
sklearn.base.ClassifierMixin.score,"X_test, y_test",
sklearn.linear_model._logistic.LogisticRegression.fit.coef_,,
sklearn.linear_model._base.LinearRegression.fit,"X, y",
sklearn.linear_model._bayes.BayesianRidge.fit,"X, y",
sklearn.linear_model._bayes.ARDRegression.fit,"X, y",
sklearn.pipeline.Pipeline,"X, y",
sklearn.pipeline.Pipeline,"X, y",
sklearn.pipeline.Pipeline.predict,X_plot,return_std=True
sklearn.pipeline.Pipeline.predict,X_plot,return_std=True
sklearn.linear_model.LinearRegression,,
sklearn.linear_model.BayesianRidge,,"compute_score=True, n_iter=30"
sklearn.linear_model.ARDRegression,,"compute_score=True, n_iter=30"
sklearn.pipeline.make_pipeline,"**, **, **",
sklearn.pipeline.make_pipeline,"**, **, **",
sklearn.preprocessing.PolynomialFeatures,,"degree=10, include_bias=False"
sklearn.preprocessing.StandardScaler,,
sklearn.linear_model.ARDRegression,,
sklearn.preprocessing.PolynomialFeatures,,"degree=10, include_bias=False"
sklearn.preprocessing.StandardScaler,,
sklearn.linear_model.BayesianRidge,,
sklearn.svm.OneClassSVM,,"gamma=gamma, kernel=rbf, nu=nu"
sklearn.svm._classes.OneClassSVM.fit,X_train,
sklearn.svm._classes.OneClassSVM.predict,X_train,
sklearn.svm._classes.OneClassSVM.predict,X_test,
sklearn.svm._classes.OneClassSVM.predict,X_outliers,
sklearn.svm._classes.OneClassSVM.decision_function,**,
sklearn.kernel_approximation.Nystroem,,"gamma=gamma, random_state=random_state"
sklearn.linear_model.SGDOneClassSVM,,"fit_intercept=True, nu=nu, random_state=random_state, shuffle=True, tol=0.0001"
sklearn.pipeline.make_pipeline,"transform, clf_sgd",
sklearn.pipeline.Pipeline.fit,X_train,
sklearn.pipeline.Pipeline,X_train,
sklearn.pipeline.Pipeline,X_test,
sklearn.pipeline.Pipeline,X_outliers,
sklearn.pipeline.Pipeline.decision_function,**,
sklearn.svm._classes.OneClassSVM.decision_function,,
sklearn.svm._classes.OneClassSVM.decision_function,,
sklearn.pipeline.Pipeline,,
sklearn.pipeline.Pipeline,,
sklearn.pipeline.Pipeline,"**, **",
sklearn.compose.ColumnTransformer,**,remainder=drop
sklearn.compose._column_transformer.ColumnTransformer.fit_transform,df,
sklearn.model_selection.train_test_split,"df, X",random_state=0
sklearn.linear_model.PoissonRegressor,,"alpha=0.0001, solver=newton-cholesky"
sklearn.linear_model._glm.glm._GeneralizedLinearRegressor.fit,"X_train, **",sample_weight=**
sklearn.linear_model.GammaRegressor,,"alpha=10.0, solver=newton-cholesky"
sklearn.linear_model._glm.glm._GeneralizedLinearRegressor.fit,"**, **",sample_weight=**
sklearn.dummy.DummyRegressor,,strategy=mean
sklearn.dummy.DummyRegressor.fit,"**, **",sample_weight=**
sklearn.linear_model.TweedieRegressor,,"alpha=0.1, power=1.9, solver=newton-cholesky"
sklearn.linear_model._glm.glm._GeneralizedLinearRegressor.fit,"X_train, **",sample_weight=**
sklearn.linear_model._glm.glm.TweedieRegressor,X_test,
sklearn.preprocessing.FunctionTransformer,,func=**
sklearn.preprocessing.FunctionTransformer,,
sklearn.datasets.fetch_openml,,"as_frame=True, data_id=41214, parser=pandas"
sklearn.datasets.fetch_openml,,"as_frame=True, data_id=41215, parser=pandas"
sklearn.linear_model._glm.glm._GeneralizedLinearRegressor.predict,X_train,
sklearn.linear_model._glm.glm._GeneralizedLinearRegressor.predict,X_test,
sklearn.linear_model._glm.glm._GeneralizedLinearRegressor.predict,X_test,
sklearn.linear_model._glm.glm._GeneralizedLinearRegressor.predict,X_test,
sklearn.linear_model._glm.glm._GeneralizedLinearRegressor.predict,**,
sklearn.linear_model._glm.glm._GeneralizedLinearRegressor.predict,**,
sklearn.metrics.auc,"ordered_samples, cum_claims",
sklearn.preprocessing.KBinsDiscretizer,,"n_bins=10, random_state=0, subsample=**"
sklearn.preprocessing.OneHotEncoder,,
sklearn.metrics.auc,"ordered_samples, cum_claims",
sklearn.datasets.load_diabetes,,"as_frame=True, return_X_y=True"
sklearn.pipeline.make_pipeline,"**, **",
sklearn.pipeline.make_pipeline,"**, **",
sklearn.pipeline.make_pipeline,"**, **",
sklearn.pipeline.make_pipeline,,criterion=aic
sklearn.pipeline.make_pipeline,,
sklearn.pipeline.make_pipeline,,cv=20
sklearn.pipeline.make_pipeline,,
sklearn.pipeline.make_pipeline,,cv=20
sklearn.datasets.make_regression,,"n_samples=n_samples, noise=0.5, random_state=rng"
sklearn.linear_model.ElasticNet,,"alpha=0.01, precompute=gram"
sklearn.linear_model._coordinate_descent.ElasticNet.fit,"X_centered, y",sample_weight=normalized_weights
sklearn.datasets.load_iris,,
sklearn.linear_model._stochastic_gradient.BaseSGDClassifier.fit,"X, y",
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"clf, X","ax=ax, cmap=**, response_method=predict, xlabel=**, ylabel=**"
sklearn.linear_model.SGDClassifier,,"alpha=0.001, max_iter=100"
sklearn.linear_model.Ridge,,"alpha=a, fit_intercept=False"
sklearn.linear_model._ridge.Ridge.fit,"X, y",
sklearn.pipeline.Pipeline,"**, **",
sklearn.compose._column_transformer.ColumnTransformer,**,remainder=drop
sklearn.model_selection.train_test_split,df,"random_state=0, test_size=0.33"
sklearn.pipeline.Pipeline,"df_train, **",regressor__sample_weight=**
sklearn.pipeline.Pipeline,"df_train, **",regressor__sample_weight=**
sklearn.pipeline.Pipeline,**,
sklearn.pipeline.Pipeline.fit,"df_train, **",regressor__sample_weight=**
sklearn.compose._column_transformer.ColumnTransformer,**,remainder=drop
sklearn.pipeline.Pipeline,**,
sklearn.pipeline.Pipeline.fit,"df_train, **",regressor__sample_weight=**
sklearn.datasets.fetch_openml,,"as_frame=True, data_id=41214, parser=pandas"
sklearn.preprocessing.FunctionTransformer,**,validate=False
sklearn.preprocessing.FunctionTransformer,,
sklearn.pipeline.Pipeline.predict,df_test,
sklearn.pipeline.Pipeline.predict,df_test,
sklearn.pipeline.Pipeline,**,
sklearn.pipeline.Pipeline,**,
sklearn.utils.gen_even_slices,"**, n_bins",
sklearn.metrics.auc,"cum_exposure, cum_claims",
sklearn.preprocessing.KBinsDiscretizer,,"n_bins=10, random_state=0, subsample=**"
sklearn.preprocessing.OneHotEncoder,,
sklearn.metrics.mean_squared_error,"**, y_pred",sample_weight=**
sklearn.metrics.mean_absolute_error,"**, y_pred",sample_weight=**
sklearn.metrics.mean_poisson_deviance,"**, **",sample_weight=**
sklearn.linear_model.PoissonRegressor,,"alpha=1e-12, solver=newton-cholesky"
sklearn.preprocessing.OrdinalEncoder,,
sklearn.ensemble.HistGradientBoostingRegressor,,"loss=poisson, max_leaf_nodes=128"
sklearn.metrics.auc,"cum_exposure, cum_claims",
sklearn.dummy.DummyRegressor,,strategy=mean
sklearn.datasets.load_digits,,return_X_y=True
sklearn.linear_model.SGDClassifier,,max_iter=110
sklearn.linear_model.SGDClassifier,,"average=True, max_iter=110"
sklearn.linear_model.Perceptron,,max_iter=110
sklearn.linear_model.PassiveAggressiveClassifier,,"C=1.0, loss=hinge, max_iter=110, tol=0.0001"
sklearn.linear_model.PassiveAggressiveClassifier,,"C=1.0, loss=squared_hinge, max_iter=110, tol=0.0001"
sklearn.linear_model.LogisticRegression,,"C=**, max_iter=110, solver=sag, tol=0.1"
sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier.fit,"X_train, y_train",
sklearn.linear_model.MultiTaskLasso,"X, Y",
sklearn.linear_model.Lasso,"X, y",
sklearn.datasets.load_diabetes,,return_X_y=True
sklearn.linear_model.LinearRegression,,
sklearn.linear_model._base.LinearRegression.fit,"X_train, y_train",
sklearn.linear_model._base.LinearRegression,**,
sklearn.linear_model._base.LinearRegression,**,
sklearn.linear_model._base.LinearRegression.fit,"X, y",
sklearn.linear_model._base.LinearModel.predict,**,
sklearn.linear_model._base.LinearRegression.fit,"X, y",
sklearn.linear_model._base.LinearModel.predict,**,
sklearn.linear_model.LinearRegression,,
sklearn.linear_model.TheilSenRegressor,,random_state=42
sklearn.linear_model.RANSACRegressor,,random_state=42
sklearn.linear_model._theil_sen.TheilSenRegressor,"2, 1",
sklearn.linear_model._theil_sen.TheilSenRegressor,"2, 1",
sklearn.model_selection.train_test_split,"X, y","shuffle=False, test_size=0.5"
sklearn.linear_model._coordinate_descent.ElasticNet.fit,"X_train, y_train",
sklearn.linear_model._coordinate_descent.Lasso,X_test,
sklearn.metrics.r2_score,"y_test, y_pred_lasso",
sklearn.linear_model._bayes.ARDRegression.fit,"X_train, y_train",
sklearn.linear_model._bayes.ARDRegression.predict,X_test,
sklearn.metrics.r2_score,"y_test, y_pred_ard",
sklearn.linear_model._coordinate_descent.ElasticNet.fit,"X_train, y_train",
sklearn.linear_model._base.LinearModel.predict,X_test,
sklearn.metrics.r2_score,"y_test, y_pred_enet",
sklearn.linear_model.Lasso,,alpha=0.14
sklearn.linear_model.ARDRegression,,
sklearn.linear_model.ElasticNet,,"alpha=0.08, l1_ratio=0.5"
sklearn.linear_model.LogisticRegression,,C=100000.0
sklearn.linear_model._logistic.LogisticRegression.fit,"X, y",
sklearn.linear_model.LinearRegression,,
sklearn.linear_model._base.LinearRegression.fit,"X, y",
sklearn.linear_model.SGDClassifier,,"alpha=0.01, max_iter=100"
sklearn.linear_model._stochastic_gradient.BaseSGDClassifier.fit,"X, y",
sklearn.linear_model._base.LinearClassifierMixin.decision_function,**,
sklearn.linear_model.SGDClassifier,,"alpha=0.01, max_iter=100"
sklearn.linear_model._stochastic_gradient.BaseSGDClassifier.fit,"X, y",sample_weight=sample_weight
sklearn.linear_model._base.LinearClassifierMixin.decision_function,**,
sklearn.linear_model._base.LinearClassifierMixin.decision_function,,
sklearn.linear_model._base.LinearClassifierMixin.decision_function,,
sklearn.linear_model._base.LinearClassifierMixin.decision_function,,
sklearn.linear_model._base.LinearClassifierMixin.decision_function,,
sklearn.datasets.make_regression,,"n_features=5000, n_samples=200, random_state=0"
sklearn.linear_model.Lasso,,"alpha=alpha, fit_intercept=False, max_iter=1000"
sklearn.linear_model.Lasso,,"alpha=alpha, fit_intercept=False, max_iter=1000"
sklearn.linear_model._coordinate_descent.ElasticNet.fit,"X_sp, y",
sklearn.linear_model._coordinate_descent.ElasticNet.fit,"X, y",
sklearn.linear_model.Lasso,,"alpha=alpha, fit_intercept=False, max_iter=10000"
sklearn.linear_model.Lasso,,"alpha=alpha, fit_intercept=False, max_iter=10000"
sklearn.linear_model._coordinate_descent.ElasticNet.fit,"Xs_sp, y",
sklearn.linear_model._coordinate_descent.ElasticNet.fit,"Xs, y",
sklearn.datasets.make_blobs,,"centers=centers, n_samples=1000, random_state=40"
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"clf, X","ax=ax, cmap=**, response_method=predict"
sklearn.linear_model.LogisticRegression,,"max_iter=100, multi_class=multi_class, random_state=42, solver=sag"
sklearn.datasets.load_diabetes,,"as_frame=True, return_X_y=True"
sklearn.pipeline.make_pipeline,"**, **",
sklearn.pipeline.make_pipeline,,criterion=aic
sklearn.linear_model._base.LinearRegression.fit,"X_train, y_train",
sklearn.linear_model.LinearRegression,,
sklearn.linear_model.LinearRegression,,alpha=0.1
sklearn.linear_model._base.LinearRegression.fit,"this_X, y_train",
sklearn.datasets.make_sparse_coded_signal,,"n_components=n_components, n_features=n_features, n_nonzero_coefs=n_nonzero_coefs, n_samples=1, random_state=0"
sklearn.linear_model.OrthogonalMatchingPursuit,,n_nonzero_coefs=n_nonzero_coefs
sklearn.linear_model._omp.OrthogonalMatchingPursuit.fit,"X, y",
sklearn.linear_model._omp.OrthogonalMatchingPursuit.fit,"X, y_noisy",
sklearn.linear_model.OrthogonalMatchingPursuitCV,,
sklearn.linear_model._omp.OrthogonalMatchingPursuitCV.fit,"X, y_noisy",
sklearn.datasets.load_iris,,
sklearn.linear_model.LogisticRegression,,C=100000.0
sklearn.linear_model._logistic.LogisticRegression.fit,"X, Y",
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"logreg, X","ax=ax, cmap=**, eps=0.5, plot_method=pcolormesh, response_method=predict, shading=auto, xlabel=Sepal length, ylabel=Sepal width"
sklearn.datasets.fetch_20newsgroups_vectorized,,"return_X_y=True, subset=all"
sklearn.linear_model.LogisticRegression,,"max_iter=this_max_iter, multi_class=model, penalty=l1, random_state=42, solver=solver"
sklearn.linear_model._logistic.LogisticRegression.fit,"X_train, y_train",
sklearn.linear_model._logistic.LogisticRegression,X_test,
sklearn.linear_model.LinearRegression,,
sklearn.linear_model.TheilSenRegressor,,random_state=42
sklearn.linear_model.RANSACRegressor,,random_state=42
sklearn.pipeline.make_pipeline,"**, estimator",
sklearn.pipeline.Pipeline.fit,"this_X, this_y",
sklearn.metrics.mean_squared_error,"**, y_test",
sklearn.pipeline.Pipeline.predict,**,
sklearn.pipeline.make_pipeline,3,
sklearn.metrics.mean_squared_error,X_test,
sklearn.model_selection.train_test_split,"X, y",test_size=0.5
sklearn.linear_model.LinearRegression,,positive=True
sklearn.linear_model._base.LinearModel.predict,X_test,
sklearn.metrics.r2_score,"y_test, y_pred_nnls",
sklearn.linear_model.LinearRegression,,
sklearn.linear_model._base.LinearModel.predict,X_test,
sklearn.metrics.r2_score,"y_test, y_pred_ols",
sklearn.linear_model._base.LinearRegression.fit,"X_train, y_train",
sklearn.linear_model._base.LinearRegression.fit,"X_train, y_train",
sklearn.datasets.load_diabetes,,return_X_y=True
sklearn.datasets.fetch_california_housing,,return_X_y=True
sklearn.ensemble.RandomForestRegressor,,random_state=0
sklearn.pipeline.make_pipeline,"imputer, regressor",
sklearn.impute.KNNImputer,,"add_indicator=True, missing_values=**"
sklearn.impute.SimpleImputer,,"add_indicator=True, missing_values=**, strategy=mean"
sklearn.impute.IterativeImputer,,"add_indicator=True, max_iter=1, missing_values=**, n_nearest_features=3, random_state=0, sample_posterior=True"
sklearn.datasets.fetch_california_housing,,return_X_y=True
sklearn.model_selection.cross_val_score,"br_estimator, X_full, y_full","cv=N_SPLITS, scoring=neg_mean_squared_error"
sklearn.linear_model.BayesianRidge,,
sklearn.ensemble.RandomForestRegressor,,"bootstrap=True, max_depth=10, max_samples=0.5, n_estimators=4, n_jobs=2, random_state=0"
sklearn.pipeline.make_pipeline,"**, **",
sklearn.neighbors.KNeighborsRegressor,,n_neighbors=15
sklearn.impute.SimpleImputer,,"missing_values=**, strategy=strategy"
sklearn.kernel_approximation.Nystroem,,"degree=2, kernel=polynomial, random_state=0"
sklearn.kernel_approximation.Nystroem,,alpha=1000.0
sklearn.impute.IterativeImputer,,"estimator=impute_estimator, max_iter=25, random_state=0, tol=tol"
sklearn.covariance.MinCovDet,X,
sklearn.covariance.EmpiricalCovariance,X,
sklearn.covariance._empirical_covariance.EmpiricalCovariance,zz,
sklearn.covariance._empirical_covariance.EmpiricalCovariance.mahalanobis,**,
sklearn.covariance.EmpiricalCovariance,,
sklearn.covariance._empirical_covariance.EmpiricalCovariance,"X, 0",
sklearn.covariance.MinCovDet,X,
sklearn.covariance._empirical_covariance.EmpiricalCovariance.error_norm,**,
sklearn.covariance.EmpiricalCovariance,pure_X,
sklearn.covariance.EmpiricalCovariance,n_features,
sklearn.covariance._robust_covariance.MinCovDet,,
sklearn.covariance.EmpiricalCovariance,X,
sklearn.covariance.EmpiricalCovariance,,
sklearn.covariance.empirical_covariance,X_train,
sklearn.model_selection.GridSearchCV,"**, tuned_parameters",
sklearn.model_selection._search.BaseSearchCV.fit,X_train,
sklearn.covariance.LedoitWolf,,
sklearn.covariance._empirical_covariance.EmpiricalCovariance.score,X_test,
sklearn.covariance._empirical_covariance.EmpiricalCovariance.score,X_test,
sklearn.covariance.log_likelihood,"emp_cov, **",
sklearn.model_selection.GridSearchCV,,
sklearn.covariance._empirical_covariance.EmpiricalCovariance.score,X_test,
sklearn.covariance.log_likelihood,real_cov,
sklearn.covariance._shrunk_covariance.LedoitWolf,X_train,
sklearn.covariance._shrunk_covariance.OAS,X_train,
sklearn.covariance._shrunk_covariance.ShrunkCovariance.fit,X_train,
sklearn.covariance.ShrunkCovariance,,shrinkage=s
sklearn.covariance.LedoitWolf,,"assume_centered=True, store_precision=False"
sklearn.covariance._shrunk_covariance.LedoitWolf,X,
sklearn.covariance._empirical_covariance.EmpiricalCovariance.error_norm,real_cov,scaling=False
sklearn.covariance.OAS,,"assume_centered=True, store_precision=False"
sklearn.covariance._shrunk_covariance.OAS,X,
sklearn.covariance._empirical_covariance.EmpiricalCovariance.error_norm,real_cov,scaling=False
sklearn.datasets.make_sparse_spd_matrix,n_features,"alpha=0.98, largest_coef=0.7, random_state=prng, smallest_coef=0.4"
sklearn.covariance.GraphicalLassoCV,,
sklearn.covariance._graph_lasso.GraphicalLassoCV.fit,X,
sklearn.covariance.ledoit_wolf,X,
sklearn.datasets.fetch_openml,yeast,"parser=pandas, return_X_y=True, version=4"
sklearn.model_selection.train_test_split,"X, Y","random_state=0, test_size=0.2"
sklearn.linear_model.LogisticRegression,,
sklearn.multiclass.OneVsRestClassifier,base_lr,
sklearn.multiclass.OneVsRestClassifier.fit,"X_train, Y_train",
sklearn.multiclass.OneVsRestClassifier.predict,X_test,
sklearn.metrics.jaccard_score,"Y_test, Y_pred_ovr",average=samples
sklearn.multioutput.ClassifierChain,base_lr,"order=random, random_state=i"
sklearn.multioutput.ClassifierChain.fit,"X_train, Y_train",
sklearn.metrics.jaccard_score,"Y_test, **",average=samples
sklearn.datasets.make_multilabel_classification,,"allow_unlabeled=True, n_classes=2, n_labels=1, random_state=1"
sklearn.datasets.make_multilabel_classification,,"allow_unlabeled=False, n_classes=2, n_labels=1, random_state=1"
sklearn.multiclass.OneVsRestClassifier,**,
sklearn.multiclass.OneVsRestClassifier.fit,"X, Y",
sklearn.decomposition._pca.PCA.fit_transform,X,
sklearn.multiclass.OneVsRestClassifier,,kernel=linear
sklearn.cross_decomposition._pls.CCA,X,
sklearn.decomposition.PCA,,n_components=2
sklearn.cross_decomposition.CCA,,n_components=2
sklearn.datasets.fetch_kddcup99,,"percent10=True, random_state=rng, subset=dataset_name"
sklearn.preprocessing.LabelBinarizer,,
sklearn.utils._bunch.Bunch,,
sklearn.neighbors.LocalOutlierFactor,,"contamination=auto, n_neighbors=20"
sklearn.neighbors._lof.LocalOutlierFactor,X,
sklearn.ensemble.IsolationForest,,"contamination=auto, random_state=rng"
sklearn.ensemble._iforest.IsolationForest.decision_function,X,
