function,args,kwargs
matplotlib.pyplot.plot,"neg_log_alphas_lasso, coef_l",c=c
matplotlib.pyplot.plot,"neg_log_alphas_positive_lasso, coef_pl","c=c, linestyle=--"
matplotlib.pyplot.plot,"neg_log_alphas_enet, coef_e",c=c
matplotlib.pyplot.plot,"neg_log_alphas_positive_enet, coef_pe","c=c, linestyle=--"
matplotlib.pyplot.plot,"X, y, b.",
matplotlib.pyplot.plot,"x, coef_, g-",label=ridge regression
matplotlib.pyplot.title,Comparison of HuberRegressor vs Ridge,
matplotlib.pyplot.xlabel,X,
matplotlib.pyplot.ylabel,y,
matplotlib.pyplot.legend,,loc=0
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,"x, coef_, **",label=**
matplotlib.pyplot.plot,"**, coefs_",marker=o
matplotlib.pyplot.xlabel,log(C),
matplotlib.pyplot.ylabel,Coefficients,
matplotlib.pyplot.title,Logistic Regression Path,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,"xx, **",
matplotlib.pyplot.vlines,"xx, ymin, ymax",linestyle=dashed
matplotlib.pyplot.xlabel,|coef| / max|coef|,
matplotlib.pyplot.ylabel,Coefficients,
matplotlib.pyplot.title,LASSO Path,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.suptitle,Classification vector for...,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"2, 5, **",
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.ylabel,linear model,
matplotlib.pyplot.xlabel,coefficients,
matplotlib.pyplot.tight_layout,,rect=**
matplotlib.pyplot.title,Models' coefficients,
matplotlib.pyplot.plot,ard_scores,"color=navy, label=ARD"
matplotlib.pyplot.plot,brr_scores,"color=red, label=BayesianRidge"
matplotlib.pyplot.ylabel,Log-likelihood,
matplotlib.pyplot.xlabel,Iterations,
matplotlib.pyplot.xlim,"1, 30",
matplotlib.pyplot.legend,,
matplotlib.pyplot.title,Models log-likelihood,
matplotlib.colors.SymLogNorm,,"linthresh=0.001, vmax=80, vmin=**"
matplotlib.rc,font,**font
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.title,One Class SVM,
matplotlib.pyplot.contourf,"xx, yy, Z","cmap=**, levels=**"
matplotlib.pyplot.contour,"xx, yy, Z","colors=darkred, levels=**, linewidths=2"
matplotlib.pyplot.contourf,"xx, yy, Z","colors=palevioletred, levels=**"
matplotlib.pyplot.scatter,"**, **","c=white, edgecolors=k, s=s"
matplotlib.pyplot.scatter,"**, **","c=blueviolet, edgecolors=k, s=s"
matplotlib.pyplot.scatter,"**, **","c=gold, edgecolors=k, s=s"
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.xlim,**,
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.legend,"**, **",loc=upper left
matplotlib.pyplot.xlabel,**,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.title,Online One-Class SVM,
matplotlib.pyplot.contourf,"xx, yy, Z_sgd","cmap=**, levels=**"
matplotlib.pyplot.contour,"xx, yy, Z_sgd","colors=darkred, levels=**, linewidths=2"
matplotlib.pyplot.contourf,"xx, yy, Z_sgd","colors=palevioletred, levels=**"
matplotlib.pyplot.scatter,"**, **","c=white, edgecolors=k, s=s"
matplotlib.pyplot.scatter,"**, **","c=blueviolet, edgecolors=k, s=s"
matplotlib.pyplot.scatter,"**, **","c=gold, edgecolors=k, s=s"
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.xlim,**,
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.legend,"**, **",loc=upper left
matplotlib.pyplot.xlabel,**,
matplotlib.pyplot.show,,
matplotlib.pyplot.contourf,,
matplotlib.pyplot.contourf,,
matplotlib.pyplot.contourf,,
matplotlib.pyplot.contourf,,
matplotlib.pyplot.subplots,,"figsize=**, ncols=2, nrows=2"
matplotlib.pyplot.subplots,,"figsize=**, ncols=1, nrows=2"
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots,,figsize=**
matplotlib.pyplot.plot,,
matplotlib.pyplot.semilogx,"**, **",linestyle=:
matplotlib.pyplot.plot,"**, **","color=black, label=Average across the folds, linewidth=2"
matplotlib.pyplot.axvline,**,"color=black, label=alpha: CV estimate, linestyle=--"
matplotlib.pyplot.ylim,"ymin, ymax",
matplotlib.pyplot.xlabel,$\alpha$,
matplotlib.pyplot.ylabel,Mean square error,
matplotlib.pyplot.legend,,
matplotlib.pyplot.title,**,
matplotlib.pyplot.semilogx,"**, **, :",
matplotlib.pyplot.semilogx,"**, **","color=black, label=Average across the folds, linewidth=2"
matplotlib.pyplot.axvline,**,"color=black, label=alpha CV, linestyle=--"
matplotlib.pyplot.ylim,"ymin, ymax",
matplotlib.pyplot.xlabel,$\alpha$,
matplotlib.pyplot.ylabel,Mean square error,
matplotlib.pyplot.legend,,
matplotlib.pyplot.title,**,
matplotlib.pyplot,,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.title,Decision surface of multi-class SGD,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.legend,,
matplotlib.pyplot.show,,
matplotlib.pyplot.scatter,"**, **","c=color, cmap=**, edgecolor=black, label=**, s=20"
matplotlib.pyplot.plot,"**, **","color=color, ls=--"
matplotlib.pyplot.plot,xmin,
matplotlib.pyplot.plot,xmax,
matplotlib.pyplot,,
matplotlib.pyplot.xlabel,alpha,
matplotlib.pyplot.ylabel,weights,
matplotlib.pyplot.title,Ridge coefficients as a function of the regularization,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,"figsize=**, ncols=3"
matplotlib.pyplot.subplots,,"figsize=**, ncols=4, nrows=2, sharey=True"
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots,,"figsize=**, ncols=2, nrows=2"
matplotlib.pyplot.subplots_adjust,,wspace=0.3
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots,,figsize=**
matplotlib.pyplot.show,,
matplotlib.pyplot.legend,,loc=upper right
matplotlib.pyplot.xlabel,Proportion train,
matplotlib.pyplot.ylabel,Test Error Rate,
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,"xx, yy",label=name
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplot,"1, 2, 1",
matplotlib.pyplot.spy,coef_lasso_,
matplotlib.pyplot.xlabel,Feature,
matplotlib.pyplot.ylabel,Time (or Task),
matplotlib.pyplot.text,"10, 5, Lasso",
matplotlib.pyplot.subplot,"1, 2, 2",
matplotlib.pyplot.spy,coef_multi_task_lasso_,
matplotlib.pyplot.xlabel,Feature,
matplotlib.pyplot.ylabel,Time (or Task),
matplotlib.pyplot.text,"10, 5, MultiTaskLasso",
matplotlib.pyplot.figure,,
matplotlib.pyplot.plot,**,"color=seagreen, label=Ground truth, linewidth=lw"
matplotlib.pyplot.plot,**,"color=cornflowerblue, label=Lasso, linewidth=lw"
matplotlib.pyplot.plot,**,"color=gold, label=MultiTaskLasso, linewidth=lw"
matplotlib.pyplot.legend,,loc=upper center
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,"dpi=100, figsize=**"
matplotlib.pyplot,,
matplotlib.pyplot.contour,"xx, yy, l2","colors=l2_color, levels=**"
matplotlib.pyplot.contour,"xx, yy, l1","colors=l1_color, levels=**"
matplotlib.pyplot.clabel,elastic_net_contour,"fmt=**, fontsize=18, inline=1, manual=**"
matplotlib.pyplot.clabel,l2_contour,"fmt=**, fontsize=18, inline=1, manual=**"
matplotlib.pyplot.clabel,l1_contour,"fmt=**, fontsize=18, inline=1, manual=**"
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,fig_num,figsize=**
matplotlib.pyplot.clf,,
matplotlib.pyplot.scatter,"x, y","color=indigo, marker=x, s=40"
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.legend,,loc=upper left
matplotlib.pyplot.title,Corrupt y,
matplotlib.pyplot.figure,,
matplotlib.pyplot.scatter,"x, y","color=indigo, marker=x, s=40"
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.legend,,loc=upper left
matplotlib.pyplot.title,Corrupt x,
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,"line_x, y_pred","color=**, label=**, linewidth=lw"
matplotlib.pyplot.plot,"line_x, y_pred","color=**, label=**, linewidth=lw"
matplotlib.pyplot.plot,"time_step, y",
matplotlib.pyplot.ylabel,target signal,
matplotlib.pyplot.xlabel,time,
matplotlib.pyplot.title,Superposition of sinusoidal signals,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.ylabel,linear model,
matplotlib.pyplot.xlabel,coefficients,
matplotlib.pyplot.title,**,
matplotlib.pyplot.tight_layout,,
matplotlib.colors.SymLogNorm,,"linthresh=0.001, vmax=1, vmin=**"
matplotlib.pyplot.figure,1,figsize=**
matplotlib.pyplot.clf,,
matplotlib.pyplot.scatter,"**, y","color=black, label=example data, zorder=20"
matplotlib.pyplot.plot,"X_test, loss","color=red, label=Logistic Regression Model, linewidth=3"
matplotlib.pyplot.plot,"X_test, **","label=Linear Regression Model, linewidth=1"
matplotlib.pyplot.axhline,0.5,color=.5
matplotlib.pyplot.ylabel,y,
matplotlib.pyplot.xlabel,X,
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.ylim,"**, 1.25",
matplotlib.pyplot.xlim,"**, 10",
matplotlib.pyplot.legend,,"fontsize=small, loc=lower right"
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.scatter,,
matplotlib.pyplot,,
matplotlib.pyplot.show,,
matplotlib.pyplot.show,,
matplotlib.pyplot,,
matplotlib.pyplot.title,**,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot,"**, **","c=color, cmap=**, edgecolor=black, s=20"
matplotlib.pyplot.plot,"**, **","color=color, ls=--"
matplotlib.pyplot,xmin,
matplotlib.pyplot,xmax,
matplotlib.pyplot.plot,aic_criterion,"color=tab:blue, label=AIC criterion, marker=o"
matplotlib.pyplot.plot,bic_criterion,"color=tab:orange, label=BIC criterion, marker=o"
matplotlib.pyplot.vlines,"index_alpha_path_bic, **, **","color=black, label=Selected alpha, linestyle=--"
matplotlib.pyplot.legend,,
matplotlib.pyplot.ylabel,Information criterion,
matplotlib.pyplot.xlabel,Lasso model sequence,
matplotlib.pyplot.title,Lasso model selection via AIC and BIC,
matplotlib.pyplot.plot,"**, **","color=gold, label=Zero-one loss, lw=lw"
matplotlib.pyplot.plot,"xx, **","color=teal, label=Hinge loss, lw=lw"
matplotlib.pyplot.plot,"xx, **","color=yellowgreen, label=Perceptron loss, lw=lw"
matplotlib.pyplot.plot,"xx, **","color=cornflowerblue, label=Log loss, lw=lw"
matplotlib.pyplot.plot,"xx, **","color=orange, label=Squared hinge loss, lw=lw"
matplotlib.pyplot.plot,"xx, **","color=darkorchid, label=Modified Huber loss, linestyle=--, lw=lw"
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.legend,,loc=upper right
matplotlib.pyplot.xlabel,Decision function $f(x)$,
matplotlib.pyplot.ylabel,"$L(y=1, f(x))$",
matplotlib.pyplot.show,,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,figsize=**
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplot,"4, 1, 1",
matplotlib.pyplot.xlim,"0, 512",
matplotlib.pyplot.title,Sparse signal,
matplotlib.pyplot.stem,"idx, **",
matplotlib.pyplot.subplot,"4, 1, 2",
matplotlib.pyplot.xlim,"0, 512",
matplotlib.pyplot.title,Recovered signal from noise-free measurements,
matplotlib.pyplot.stem,"idx_r, **",
matplotlib.pyplot.subplot,"4, 1, 3",
matplotlib.pyplot.xlim,"0, 512",
matplotlib.pyplot.title,Recovered signal from noisy measurements,
matplotlib.pyplot.stem,"idx_r, **",
matplotlib.pyplot.subplot,"4, 1, 4",
matplotlib.pyplot.xlim,"0, 512",
matplotlib.pyplot.title,Recovered signal from noisy measurements with CV,
matplotlib.pyplot.stem,"idx_r, **",
matplotlib.pyplot.subplots_adjust,"0.06, 0.04, 0.94, 0.9, 0.2, 0.38",
matplotlib.pyplot.suptitle,Sparse signal recovery with Orthogonal Matching Pursuit,fontsize=16
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,figsize=**
matplotlib.pyplot.scatter,"**, **","c=Y, cmap=**, edgecolors=k"
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.show,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.plot,"**, this_y, b+",
matplotlib.pyplot.xlim,"**, 10.2",
matplotlib.pyplot.ylim,"**, 10.2",
matplotlib.pyplot.title,title,
matplotlib.pyplot,"x_plot, y_plot","color=**, label=**, linestyle=**, linewidth=lw"
matplotlib.pyplot,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplot,121,
matplotlib.pyplot.subplot,122,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,figsize=**
matplotlib.pyplot.tight_layout,,pad=1
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,figsize=**
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots_adjust,,wspace=0.6
matplotlib.pyplot.show,,
matplotlib.font_manager.FontProperties,,size=11
matplotlib.pyplot.subplot,"2, 1, 1",
matplotlib.pyplot.errorbar,"range_n_outliers, **","color=m, label=Robust location, lw=lw, yerr=**"
matplotlib.pyplot.errorbar,"range_n_outliers, **","color=green, label=Full data set mean, lw=lw, yerr=**"
matplotlib.pyplot.errorbar,"range_n_outliers, **","color=black, label=Pure data set mean, lw=lw, yerr=**"
matplotlib.pyplot.title,Influence of outliers on the location estimation,
matplotlib.pyplot.ylabel,Error ($||\mu - \hat{\mu}||_2^2$),
matplotlib.pyplot.legend,,"loc=upper left, prop=font_prop"
matplotlib.pyplot.subplot,"2, 1, 2",
matplotlib.pyplot.errorbar,"range_n_outliers, **","color=m, label=Robust covariance (mcd), yerr=**"
matplotlib.pyplot.errorbar,"**, **","color=green, label=Full data set empirical covariance, yerr=**"
matplotlib.pyplot.plot,"**, **","color=green, ls=--"
matplotlib.pyplot.errorbar,"range_n_outliers, **","color=black, label=Pure data set empirical covariance, yerr=**"
matplotlib.pyplot.title,Influence of outliers on the covariance estimation,
matplotlib.pyplot.xlabel,Amount of contamination (%),
matplotlib.pyplot.ylabel,RMSE,
matplotlib.pyplot.legend,,"loc=upper center, prop=font_prop"
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.title,Regularized covariance: likelihood and shrinkage coefficient,
matplotlib.pyplot.xlabel,Regularization parameter: shrinkage coefficient,
matplotlib.pyplot.ylabel,Error: negative log-likelihood on test data,
matplotlib.pyplot.loglog,"shrinkages, negative_logliks",label=Negative log-likelihood
matplotlib.pyplot.plot,"**, **, --r",label=Real covariance likelihood
matplotlib.pyplot.vlines,"**, ymin, **","color=magenta, label=Ledoit-Wolf estimate, linewidth=3"
matplotlib.pyplot.vlines,"**, ymin, **","color=purple, label=OAS estimate, linewidth=3"
matplotlib.pyplot.vlines,"**, ymin, **","color=cyan, label=Cross-validation best estimate, linewidth=3"
matplotlib.pyplot.ylim,"ymin, ymax",
matplotlib.pyplot.xlim,"xmin, xmax",
matplotlib.pyplot.legend,,
matplotlib.pyplot.show,,
matplotlib.pyplot,,
matplotlib.pyplot.subplot,"2, 1, 1",
matplotlib.pyplot.errorbar,"n_samples_range, **","color=navy, label=Ledoit-Wolf, lw=2, yerr=**"
matplotlib.pyplot.errorbar,"n_samples_range, **","color=darkorange, label=OAS, lw=2, yerr=**"
matplotlib.pyplot.ylabel,Squared error,
matplotlib.pyplot.legend,,loc=upper right
matplotlib.pyplot.title,Comparison of covariance estimators,
matplotlib.pyplot.xlim,"5, 31",
matplotlib.pyplot.subplot,"2, 1, 2",
matplotlib.pyplot.errorbar,"n_samples_range, **","color=navy, label=Ledoit-Wolf, lw=2, yerr=**"
matplotlib.pyplot.errorbar,"n_samples_range, **","color=darkorange, label=OAS, lw=2, yerr=**"
matplotlib.pyplot.xlabel,n_samples,
matplotlib.pyplot.ylabel,Shrinkage,
matplotlib.pyplot.legend,,loc=lower right
matplotlib.pyplot.ylim,"**, **",
matplotlib.pyplot.xlim,"5, 31",
matplotlib.pyplot.show,,
matplotlib.pyplot,,
matplotlib.pyplot,,
matplotlib.pyplot,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplots_adjust,,"left=0.02, right=0.98"
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.axes,**,
matplotlib.pyplot.plot,"**, **, o-",
matplotlib.pyplot.axvline,**,color=.5
matplotlib.pyplot.title,Model selection,
matplotlib.pyplot.ylabel,Cross-validation score,
matplotlib.pyplot.xlabel,alpha,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"2, 4, **",
matplotlib.pyplot.imshow,this_cov,"cmap=**, interpolation=nearest, vmax=vmax, vmin=**"
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.title,**,
matplotlib.pyplot.subplot,"2, 4, **",
matplotlib.pyplot.imshow,**,"cmap=**, interpolation=nearest, vmax=vmax, vmin=**"
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.title,**,
matplotlib.pyplot.subplots,,figsize=**
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplots_adjust,"0.04, 0.02, 0.97, 0.94, 0.09, 0.2",
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,"xx, yy, linestyle",label=label
matplotlib.pyplot.subplot,"2, 2, subplot",
matplotlib.pyplot.title,title,
matplotlib.pyplot.scatter,"**, **","c=gray, edgecolors=**, s=40"
matplotlib.pyplot.scatter,"**, **","edgecolors=b, facecolors=none, label=Class 1, linewidths=2, s=160"
matplotlib.pyplot.scatter,"**, **","edgecolors=orange, facecolors=none, label=Class 2, linewidths=2, s=80"
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.xlim,"**, **",
matplotlib.pyplot.ylim,"**, **",
matplotlib.pyplot.xlabel,First principal component,
matplotlib.pyplot.ylabel,Second principal component,
matplotlib.pyplot.legend,,loc=upper left
matplotlib.pyplot.subplots,"rows, cols","figsize=**, sharex=True, sharey=True"
matplotlib.pyplot.tight_layout,,pad=2.0
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.legend,**,loc=lower right
matplotlib.pyplot.xlabel,Number of observations to eps-embed,
matplotlib.pyplot.ylabel,Minimum number of dimensions,
matplotlib.pyplot.title,"Johnson-Lindenstrauss bounds:
n_samples vs n_components",
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.legend,**,loc=upper right
matplotlib.pyplot.xlabel,Distortion eps,
matplotlib.pyplot.ylabel,Minimum number of dimensions,
matplotlib.pyplot.title,"Johnson-Lindenstrauss bounds:
n_components vs eps",
matplotlib.pyplot.show,,
matplotlib.pyplot.show,,
matplotlib.pyplot.loglog,"n_samples_range, min_n_components",color=color
matplotlib.pyplot.semilogy,"eps_range, min_n_components",color=color
matplotlib.pyplot.figure,,
matplotlib.pyplot.hexbin,"dists, projected_dists","cmap=**, extent=**, gridsize=100"
matplotlib.pyplot.xlabel,Pairwise squared distances in original space,
matplotlib.pyplot.ylabel,Pairwise squared distances in projected space,
matplotlib.pyplot.title,**,
matplotlib.pyplot.colorbar,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.hist,rates,"bins=50, density=True, edgecolor=k, range=**"
matplotlib.pyplot.xlabel,Squared distances rate: projected / original,
matplotlib.pyplot.ylabel,Distribution of samples pairs,
matplotlib.pyplot.title,**,
matplotlib.cm,eps_range,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplots_adjust,,"bottom=0.001, hspace=0.01, left=0.02, right=0.98, top=0.96, wspace=0.05"
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"**, **, plot_num",
matplotlib.pyplot.scatter,"**, **","color=**, s=10"
matplotlib.pyplot.xlim,"**, 7",
matplotlib.pyplot.ylim,"**, 7",
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot,"0.99, 0.01, **","horizontalalignment=right, size=15, transform=**"
matplotlib.pyplot.subplot,datasets,
matplotlib.pyplot.title,name,size=18
matplotlib.pyplot.contour,"xx, yy, Z","colors=black, levels=**, linewidths=2"
matplotlib.pyplot.scatter,"**, **","c=r, edgecolors=**, label=SVR support vectors, s=50, zorder=2"
matplotlib.pyplot.scatter,"**, **","c=k, edgecolors=**, label=data, zorder=1"
matplotlib.pyplot.plot,"X_plot, y_svr","c=r, label=**"
matplotlib.pyplot.plot,"X_plot, y_kr","c=g, label=**"
matplotlib.pyplot.xlabel,data,
matplotlib.pyplot.ylabel,target,
matplotlib.pyplot.title,SVR versus Kernel Ridge,
matplotlib.pyplot.legend,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.xscale,log,
matplotlib.pyplot.yscale,log,
matplotlib.pyplot.xlabel,Train size,
matplotlib.pyplot.ylabel,Time (seconds),
matplotlib.pyplot.title,Execution Time,
matplotlib.pyplot.legend,,loc=best
matplotlib.pyplot.subplots,,
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,"sizes, train_time, o-","color=**, label=**"
matplotlib.pyplot.plot,"sizes, test_time, o--","color=**, label=**"
matplotlib.collections.LineCollection,segments,zorder=0
matplotlib.cm.ScalarMappable.set_array,**,
matplotlib.pyplot.subplots,,"figsize=**, ncols=2"
matplotlib.pyplot.show,,
matplotlib.cm.ScalarMappable.set_array,y,
matplotlib.pyplot.show,,
matplotlib.pyplot,,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,figsize=**
matplotlib.pyplot.subplots,,figsize=**
matplotlib.pyplot.subplots,"2, 1",figsize=**
matplotlib.pyplot.subplots,"1, 2",figsize=**
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplot,121,
matplotlib.pyplot,122,
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"1, 3, **",
matplotlib.pyplot.contourf,"multiples, multiples, Z","alpha=0.7, cmap=**, levels=**, vmax=10, vmin=0"
matplotlib.pyplot.axis,off,
matplotlib.pyplot.scatter,"**, **","c=targets_train, cmap=**, edgecolors=**, vmax=10, vmin=0"
matplotlib.pyplot.title,**,
matplotlib.pyplot.subplots,"1, 2",figsize=**
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.suptitle,Face completion with multi-output estimators,size=16
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"n_faces, n_cols, **",
matplotlib.pyplot.subplot,"n_faces, n_cols, **",title=true faces
matplotlib.pyplot.subplot,"n_faces, n_cols, **",
matplotlib.pyplot.subplot,"n_faces, n_cols, **",title=est
matplotlib.pyplot.figure,,
matplotlib.pyplot.xlabel,Number of features selected,
matplotlib.pyplot.ylabel,Mean test accuracy,
matplotlib.pyplot.errorbar,"**, **",yerr=**
matplotlib.pyplot.title,"Recursive Feature Elimination 
with correlated features",
matplotlib.pyplot.show,,
matplotlib.pyplot.matshow,ranking,cmap=**
matplotlib.pyplot.colorbar,,
matplotlib.pyplot.title,Ranking of pixels with RFE,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,1,
matplotlib.pyplot.clf,,
matplotlib.pyplot.bar,"**, scores",width=0.2
matplotlib.pyplot.title,Feature univariate score,
matplotlib.pyplot.xlabel,Feature number,
matplotlib.pyplot.ylabel,Univariate score ($-Log(p_{value})$),
matplotlib.pyplot.show,,
matplotlib.pyplot.bar,"**, scores","label=Univariate score ($-Log(p_{value})$), width=0.2"
matplotlib.pyplot.bar,"**, svm_weights","label=SVM weight, width=0.2"
matplotlib.pyplot.bar,"**, svm_weights_selected","label=SVM weights after selection, width=0.2"
matplotlib.pyplot.title,Comparing feature selection,
matplotlib.pyplot.xlabel,Feature number,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.legend,,loc=upper right
matplotlib.pyplot.show,,
matplotlib.pyplot.bar,,"height=importance, x=feature_names"
matplotlib.pyplot.title,Feature importances via coefficients,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"1, 3, **",
matplotlib.pyplot.scatter,"**, y","edgecolor=black, s=20"
matplotlib.pyplot.xlabel,**,fontsize=14
matplotlib.pyplot.title,**,fontsize=16
matplotlib.pyplot.ylabel,$y$,fontsize=14
matplotlib.pyplot.subplots,,"figsize=**, nrows=2, sharex=True, sharey=True"
matplotlib.pyplot.subplots,,"constrained_layout=True, figsize=**, ncols=3, nrows=2"
matplotlib.pyplot.subplots,,"constrained_layout=True, figsize=**, ncols=3, nrows=2"
matplotlib.pyplot.subplots,,"constrained_layout=True, figsize=**, ncols=2, sharey=True"
matplotlib.pyplot.subplots,,"constrained_layout=True, figsize=**, ncols=2, sharey=True"
matplotlib.pyplot.subplots,,"constrained_layout=True, figsize=**, ncols=3"
matplotlib.pyplot.subplots,,"constrained_layout=True, figsize=**, ncols=3"
matplotlib.pyplot.subplots,,"constrained_layout=True, figsize=**, ncols=3"
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.colorbar,surf,"aspect=10, pad=0.08, shrink=0.6"
matplotlib.pyplot.show,,
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,"1, 2",figsize=**
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,"1, 2",figsize=**
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,figsize=**
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.title,"Ridge model, small regularization",
matplotlib.pyplot.axvline,,"color=.5, x=0"
matplotlib.pyplot.xlabel,Raw coefficient values,
matplotlib.pyplot.subplots_adjust,,left=0.3
matplotlib.pyplot.title,Feature ranges,
matplotlib.pyplot.xlabel,Std. dev. of feature values,
matplotlib.pyplot.subplots_adjust,,left=0.3
matplotlib.pyplot.xlabel,Coefficient values corrected by the feature's std. dev.,
matplotlib.pyplot.title,"Ridge model, small regularization",
matplotlib.pyplot.axvline,,"color=.5, x=0"
matplotlib.pyplot.subplots_adjust,,left=0.3
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.axvline,,"color=.5, x=0"
matplotlib.pyplot.xlabel,Coefficient importance,
matplotlib.pyplot.title,Coefficient importance and its variability,
matplotlib.pyplot.suptitle,"Ridge model, small regularization",
matplotlib.pyplot.subplots_adjust,,left=0.3
matplotlib.pyplot.ylabel,Age coefficient,
matplotlib.pyplot.xlabel,Experience coefficient,
matplotlib.pyplot.grid,True,
matplotlib.pyplot.xlim,"**, 0.5",
matplotlib.pyplot.ylim,"**, 0.5",
matplotlib.pyplot.scatter,"**, **",
matplotlib.pyplot.title,Co-variations of coefficients for AGE and EXPERIENCE across folds,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.axvline,,"color=.5, x=0"
matplotlib.pyplot.title,Coefficient importance and its variability,
